Size,Pleat Style,Price,Note
"36W-100H inches","3-Fold Pinch",175,ONE-WAY ONLY
"36W-100H inches","2-Fold Pinch",146,ONE-WAY ONLY
"36W-100H inches","3-Fold Tailored",175,ONE-WAY ONLY
"36W-100H inches","2-Fold Tailored",146,ONE-WAY ONLY
"48W-100H inches","3-Fold Pinch",218,ONE-WAY ONLY
"48W-100H inches","2-Fold Pinch",204,ONE-WAY ONLY
"48W-100H inches","3-Fold Tailored",218,ONE-WAY ONLY
"48W-100H inches","2-Fold Tailored",204,ONE-WAY ONLY
"60W-100H inches","3-Fold Pinch",262,
"60W-100H inches","2-Fold Pinch",233,ONE-WAY ONLY
"60W-100H inches","3-Fold Tailored",262,
"60W-100H inches","2-Fold Tailored",233,ONE-WAY ONLY
"72W-100H inches","3-Fold Pinch",335,
"72W-100H inches","2-Fold Pinch",277,
"72W-100H inches","3-Fold Tailored",335,
"72W-100H inches","2-Fold Tailored",277,
"84W-100H inches","3-Fold Pinch",349,
"84W-100H inches","2-Fold Pinch",335,
"84W-100H inches","3-Fold Tailored",349,
"84W-100H inches","2-Fold Tailored",335,
"96W-100H inches","3-Fold Pinch",422,
"96W-100H inches","2-Fold Pinch",393,
"96W-100H inches","3-Fold Tailored",422,
"96W-100H inches","2-Fold Tailored",393,
"108W-100H inches","3-Fold Pinch",466,
"108W-100H inches","2-Fold Pinch",408,
"108W-100H inches","3-Fold Tailored",466,
"108W-100H inches","2-Fold Tailored",408,
"120W-100H inches","3-Fold Pinch",524,
"120W-100H inches","2-Fold Pinch",466,
"120W-100H inches","3-Fold Tailored",524,
"120W-100H inches","2-Fold Tailored",466,
"132W-100H inches","3-Fold Pinch",553,
"132W-100H inches","2-Fold Pinch",480,
"132W-100H inches","3-Fold Tailored",553,
"132W-100H inches","2-Fold Tailored",480,
"144W-100H inches","3-Fold Pinch",597,
"144W-100H inches","2-Fold Pinch",539,
"144W-100H inches","3-Fold Tailored",597,
"144W-100H inches","2-Fold Tailored",539,
"156W-100H inches","3-Fold Pinch",815,
"156W-100H inches","2-Fold Pinch",568,
"156W-100H inches","3-Fold Tailored",815,
"156W-100H inches","2-Fold Tailored",568,
"168W-100H inches","3-Fold Pinch",830,
"168W-100H inches","2-Fold Pinch",612,
"168W-100H inches","3-Fold Tailored",830,
"168W-100H inches","2-Fold Tailored",612,
"36W-140H inches","3-Fold Pinch",252,ONE-WAY ONLY
"36W-140H inches","2-Fold Pinch",199,ONE-WAY ONLY
"36W-140H inches","3-Fold Tailored",252,ONE-WAY ONLY
"36W-140H inches","2-Fold Tailored",199,ONE-WAY ONLY
"48W-140H inches","3-Fold Pinch",306,ONE-WAY ONLY
"48W-140H inches","2-Fold Pinch",252,ONE-WAY ONLY
"48W-140H inches","3-Fold Tailored",306,ONE-WAY ONLY
"48W-140H inches","2-Fold Tailored",252,ONE-WAY ONLY
"60W-140H inches","3-Fold Pinch",383,
"60W-140H inches","2-Fold Pinch",306,ONE-WAY ONLY
"60W-140H inches","3-Fold Tailored",383,
"60W-140H inches","2-Fold Tailored",306,ONE-WAY ONLY
"72W-140H inches","3-Fold Pinch",505,
"72W-140H inches","2-Fold Pinch",383,
"72W-140H inches","3-Fold Tailored",505,
"72W-140H inches","2-Fold Tailored",383,
"84W-140H inches","3-Fold Pinch",505,
"84W-140H inches","2-Fold Pinch",505,
"84W-140H inches","3-Fold Tailored",505,
"84W-140H inches","2-Fold Tailored",505,
"96W-140H inches","3-Fold Pinch",612,
"96W-140H inches","2-Fold Pinch",505,
"96W-140H inches","3-Fold Tailored",612,
"96W-140H inches","2-Fold Tailored",505,
"108W-140H inches","3-Fold Pinch",612,
"108W-140H inches","2-Fold Pinch",612,
"108W-140H inches","3-Fold Tailored",612,
"108W-140H inches","2-Fold Tailored",612,
"120W-140H inches","3-Fold Pinch",767,
"120W-140H inches","2-Fold Pinch",612,
"120W-140H inches","3-Fold Tailored",767,
"120W-140H inches","2-Fold Tailored",612,
"132W-140H inches","3-Fold Pinch",767,
"132W-140H inches","2-Fold Pinch",767,
"132W-140H inches","3-Fold Tailored",767,
"132W-140H inches","2-Fold Tailored",767,
"144W-140H inches","3-Fold Pinch",888,
"144W-140H inches","2-Fold Pinch",767,
"144W-140H inches","3-Fold Tailored",888,
"144W-140H inches","2-Fold Tailored",767,
"156W-140H inches","3-Fold Pinch",888,
"156W-140H inches","2-Fold Pinch",888,
"156W-140H inches","3-Fold Tailored",888,
"156W-140H inches","2-Fold Tailored",888,
"168W-140H inches","3-Fold Pinch",1238,
"168W-140H inches","2-Fold Pinch",888,
"168W-140H inches","3-Fold Tailored",1238,
"168W-140H inches","2-Fold Tailored",888,
