Size,Pleat Style,Price,Note
"36W-100H inches","2-Fold Pinch",159,ONE-WAY ONLY
"36W-100H inches","3-Fold Pinch",190,ONE-WAY ONLY
"36W-100H inches","2-Fold Tailored",159,ONE-WAY ONLY
"48W-100H inches","2-Fold Pinch",222,ONE-WAY ONLY
"48W-100H inches","3-Fold Pinch",239,ONE-WAY ONLY
"48W-100H inches","2-Fold Tailored",222,ONE-WAY ONLY
"60W-100H inches","2-Fold Pinch",253,ONE-WAY ONLY
"60W-100H inches","3-Fold Pinch",284,
"60W-100H inches","2-Fold Tailored",253,ONE-WAY ONLY
"72W-100H inches","2-Fold Pinch",301,
"72W-100H inches","3-Fold Pinch",364,
"72W-100H inches","2-Fold Tailored",301,
"84W-100H inches","2-Fold Pinch",364,
"84W-100H inches","3-Fold Pinch",381,
"84W-100H inches","2-Fold Tailored",364,
"96W-100H inches","2-Fold Pinch",427,
"96W-100H inches","3-Fold Pinch",460,
"96W-100H inches","2-Fold Tailored",427,
"108W-100H inches","2-Fold Pinch",444,
"108W-100H inches","3-Fold Pinch",506,
"108W-100H inches","2-Fold Tailored",444,
"120W-100H inches","2-Fold Pinch",506,
"120W-100H inches","3-Fold Pinch",569,
"120W-100H inches","2-Fold Tailored",506,
"132W-100H inches","2-Fold Pinch",523,
"132W-100H inches","3-Fold Pinch",603,
"132W-100H inches","2-Fold Tailored",523,
"144W-100H inches","2-Fold Pinch",586,
"144W-100H inches","3-Fold Pinch",648,
"144W-100H inches","2-Fold Tailored",586,
"156W-100H inches","2-Fold Pinch",619,
"156W-100H inches","3-Fold Pinch",874,
"156W-100H inches","2-Fold Tailored",619,
"168W-100H inches","2-Fold Pinch",665,
"168W-100H inches","3-Fold Pinch",890,
"168W-100H inches","2-Fold Tailored",665,
"36W-140H inches","2-Fold Pinch",215,ONE-WAY ONLY
"36W-140H inches","3-Fold Pinch",272,ONE-WAY ONLY
"36W-140H inches","2-Fold Tailored",215,ONE-WAY ONLY
"48W-140H inches","2-Fold Pinch",272,ONE-WAY ONLY
"48W-140H inches","3-Fold Pinch",330,ONE-WAY ONLY
"48W-140H inches","2-Fold Tailored",272,ONE-WAY ONLY
"60W-140H inches","2-Fold Pinch",330,ONE-WAY ONLY
"60W-140H inches","3-Fold Pinch",412,
"60W-140H inches","2-Fold Tailored",330,ONE-WAY ONLY
"72W-140H inches","2-Fold Pinch",412,
"72W-140H inches","3-Fold Pinch",545,
"72W-140H inches","2-Fold Tailored",412,
"84W-140H inches","2-Fold Pinch",545,
"84W-140H inches","3-Fold Pinch",545,
"84W-140H inches","2-Fold Tailored",545,
"96W-140H inches","2-Fold Pinch",545,
"96W-140H inches","3-Fold Pinch",661,
"96W-140H inches","2-Fold Tailored",545,
"108W-140H inches","2-Fold Pinch",661,
"108W-140H inches","3-Fold Pinch",661,
"108W-140H inches","2-Fold Tailored",661,
"120W-140H inches","2-Fold Pinch",661,
"120W-140H inches","3-Fold Pinch",825,
"120W-140H inches","2-Fold Tailored",661,
"132W-140H inches","2-Fold Pinch",825,
"132W-140H inches","3-Fold Pinch",825,
"132W-140H inches","2-Fold Tailored",825,
"144W-140H inches","2-Fold Pinch",825,
"144W-140H inches","3-Fold Pinch",958,
"144W-140H inches","2-Fold Tailored",825,
"156W-140H inches","2-Fold Pinch",958,
"156W-140H inches","3-Fold Pinch",958,
"156W-140H inches","2-Fold Tailored",958,
"168W-140H inches","2-Fold Pinch",958,
"168W-140H inches","3-Fold Pinch",1316,
"168W-140H inches","2-Fold Tailored",958,
